Street,Vicinity,City,District,Province,Classification,Zonal Value,Barangay
1ST-4TH AVENUE,BONI SERRANO - NORTH RD.,Quezon City,Cubao,NCR,RR,35000,
1ST-4TH AVENUE,BONI SERRANO - NORTH RD.,Quezon City,Cubao,NCR,CR,42000,
ANNAPOLIS,EDSA-ALBANY,Quezon City,Cubao,NCR,RR,100000,
ANNAPOLIS,EDSA-ALBANY,Quezon City,Cubao,NCR,CR,100000,
BONI SERRANO AVENUE ,EDSA - C. BENITEZ,Quezon City,Cubao,NCR,RR,95000,
(FORMERLY SANTOLAN ROAD),EDSA - C. BENITEZ,Quezon City,Cubao,NCR,CR,100000,
CAMP CRAME,EDSA,Quezon City,Cubao,NCR,GL,120000,
CAMP CRAME,EDSA,Quezon City,Cubao,NCR,CR,120000,
C. BENITEZ (MAKILING),BONI SERRANO - P. TUAZON ,Quezon City,Cubao,NCR,RR,57000,
C. BENITEZ (MAKILING),BONI SERRANO - P. TUAZON ,Quezon City,Cubao,NCR,CR,67000,
EDSA (FORMERLY HIGHWAY 54),P. TUAZON - ANNAPOLIS,Quezon City,Cubao,NCR,CR,180000,
J.P. RIZAL,P. TUAZON - ANNAPOLIS,Quezon City,Cubao,NCR,RR,*,
J.P. RIZAL,P. TUAZON - ANNAPOLIS,Quezon City,Cubao,NCR,CR,*,
LIBERTY AVE.                 ,3RD ST. - EDSA,Quezon City,Cubao,NCR,RR,37000,
LIBERTY AVE.                 ,3RD ST. - EDSA,Quezon City,Cubao,NCR,CR,45000,
"JUSTICE L, PAREDES SAN DIEGO AVE.              ",1ST ST. - EDSA,Quezon City,Cubao,NCR,RR,37000,
    (FORMERLY MAIN AVE.),1ST ST. - EDSA,Quezon City,Cubao,NCR,CR,45000,
MARIPOSA,C. BENITEZ - 1st AVENUE,Quezon City,Cubao,NCR,RR,55000,
MARIPOSA,C. BENITEZ - 1st AVENUE,Quezon City,Cubao,NCR,CR,65000,
MARIPOSA LOOP,MARIPOSA,Quezon City,Cubao,NCR,RR,44000,
MARIPOSA LOOP,MARIPOSA,Quezon City,Cubao,NCR,CR,54000,
NORTH ROAD,WEST ROAD - EDSA,Quezon City,Cubao,NCR,RR,37000,
NORTH ROAD,WEST ROAD - EDSA,Quezon City,Cubao,NCR,CR,45000,
ORESTES LANE,MARIPOSA,Quezon City,Cubao,NCR,RR,44000,
ORESTES LANE,MARIPOSA,Quezon City,Cubao,NCR,CR,54000,
P. BERNARDO,P. TUAZON,Quezon City,Cubao,NCR,RR,35000,
P. BERNARDO,P. TUAZON,Quezon City,Cubao,NCR,CR,42000,
P. TUAZON,EDSA - C. BENITEZ,Quezon City,Cubao,NCR,RR,80000,
 (FORMERLY CENTRAL BLVD.),EDSA - C. BENITEZ,Quezon City,Cubao,NCR,CR,85000,
"PLANAS SITE  I, II, III",P. TUAZON,Quezon City,Cubao,NCR,RR,35000,
"PLANAS SITE  I, II, III",P. TUAZON,Quezon City,Cubao,NCR,CR,42000,
REAL                           ,NORTH ROAD - SOUTH ROAD,Quezon City,Cubao,NCR,RR,35000,
REAL                           ,NORTH ROAD - SOUTH ROAD,Quezon City,Cubao,NCR,CR,42000,
SOUTH ROAD,MARIPOSA - EDSA,Quezon City,Cubao,NCR,RR,37000,
SOUTH ROAD,MARIPOSA - EDSA,Quezon City,Cubao,NCR,CR,45000,
SUNRISE DRIVE,BONI SERRANO,Quezon City,Cubao,NCR,RR,44000,
SUNRISE DRIVE,BONI SERRANO,Quezon City,Cubao,NCR,CR,54000,
WEST ROAD,NORTH ROAD - MARIPOSA,Quezon City,Cubao,NCR,RR,37000,
WEST ROAD,NORTH ROAD - MARIPOSA,Quezon City,Cubao,NCR,CR,45000,
1st WEST CRAME,BONI SERRANO - ANNOPOLIS,Quezon City,Cubao,NCR,RR,40000,
1st WEST CRAME,BONI SERRANO - ANNOPOLIS,Quezon City,Cubao,NCR,CR,50000,
ALL OTHER STREETS,BONI SERRANO - ANNOPOLIS,Quezon City,Cubao,NCR,RR,34000,
ALL OTHER STREETS,BONI SERRANO - ANNOPOLIS,Quezon City,Cubao,NCR,CR/I,41000,
ALL OTHER STREETS,BONI SERRANO - ANNOPOLIS,Quezon City,Cubao,NCR,X,64000,
ALL OTHER STREETS,BONI SERRANO - ANNOPOLIS,Quezon City,Cubao,NCR,GL,36000,
168 MARIPOSA RESIDENCE,MARIPOSA ST.,Quezon City,Cubao,NCR,RC,50000,
ACROPOLIS,CRAME,Quezon City,Cubao,NCR,RC,72000,
ACROPOLIS,CRAME,Quezon City,Cubao,NCR,CC,85000,
AVIDA TOWERS,COL BONI SERRANO,Quezon City,Cubao,NCR,RC,75000,
AVIDA TOWERS,COL BONI SERRANO,Quezon City,Cubao,NCR,CC,90000,
ASIA CATHAY CORP.,1ST AVENUE,Quezon City,Cubao,NCR,RC,47000,
ATLANTA CENTER,ANNAPOLIS,Quezon City,Cubao,NCR,RC,77000,
ATLANTA CENTER,ANNAPOLIS,Quezon City,Cubao,NCR,CC,97000,
CORAL TOWNHOUSES         (CCT)    ,ALONG 2ND AVENUE,Quezon City,Cubao,NCR,RC,50000,
FOREST HILL TOWNHOUSES   (CCT)  ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,RC,50000,
GREENHILLS GARDEN SQUARE,COL. BONI SERRANO,Quezon City,Cubao,NCR,RC,75000,
GREENHILLS GARDEN SQUARE,COL. BONI SERRANO,Quezon City,Cubao,NCR,CC,90000,
STREETS/SUBDIVISIONS/ CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,Quezon City,Cubao,NCR,CLASSIFICATION,6TH REVISION ZV/SQ.M,
LAND MNGT & DEV'T. CORP (CCT),COL BONI SERRANO,Quezon City,Cubao,NCR,RC,50000,
MARIPOSA SQ. T/HOUSE,MARIPOSA ST.,Quezon City,Cubao,NCR,RC,45000,
RCC PROPERTIES (CCT),"50 PASEO DEL SOL APT. BLDG. P, TUAZON  CUBAO",Quezon City,Cubao,NCR,RC,50000,
CAMBRIDGE PLACE             ,23-B MARIPOSA,Quezon City,Cubao,NCR,RC,60000,
CAMBRIDGE PLACE             ,23-B MARIPOSA,Quezon City,Cubao,NCR,CR,70000,
GRACECOURT CONDO        ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,RC,55000,
GRACECOURT CONDO        ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,CR,70000,
ILUSTRATA RESIDENCE,39 BONI SERRANO AVENUE,Quezon City,Cubao,NCR,RC,75000,
ILUSTRATA RESIDENCE,39 BONI SERRANO AVENUE,Quezon City,Cubao,NCR,CC,90000,
ISABELLA  APT.                  ,ALONG NORTH RD. CORNER ,Quezon City,Cubao,NCR,RC,55000,
ISABELLA  APT.                  ,1ST AVENUE,Quezon City,Cubao,NCR,CR,70000,
KENTWOOD HEIGHTS        ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,RC,65000,
KENTWOOD HEIGHTS        ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,CR,80000,
MADISON SQUARE           ,7 JUSTICE LOURDES PAREDES,Quezon City,Cubao,NCR,RC,70000,
MADISON SQUARE           ,SAN DIEGO AVE.,Quezon City,Cubao,NCR,CR,82000,
MARILENA GARDEN        ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,RC,65000,
MARILENA GARDEN        ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,CR,80000,
MARIPOSA VILLAS          ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,RC,65000,
MARIPOSA VILLAS          ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,CR,80000,
NARRA HEIGHTS           ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,RC,65000,
NARRA HEIGHTS           ,ALONG MARIPOSA AVENUE,Quezon City,Cubao,NCR,CR,80000,
PARKWOOD VILLAS     ,ALONG C. BENITEZ,Quezon City,Cubao,NCR,RC,55000,
PARKWOOD VILLAS     ,ALONG C. BENITEZ,Quezon City,Cubao,NCR,CR,70000,
SANTORI GARDEN VILLAS,C. BENITEZ ST.,Quezon City,Cubao,NCR,RC,75000,
SANTORI GARDEN VILLAS,C. BENITEZ ST.,Quezon City,Cubao,NCR,CC,90000,
THE PLATINUM,ANNAPOLIS,Quezon City,Cubao,NCR,RC,72000,
THE PLATINUM,ANNAPOLIS,Quezon City,Cubao,NCR,CC,89000,
VERMONT SQUARE      ,WITHIN SUNRISE DRIVE,Quezon City,Cubao,NCR,RC,70000,
VERMONT SQUARE      ,WITHIN SUNRISE DRIVE,Quezon City,Cubao,NCR,CR,82000,
VIVALDI RESIDENCES,628 EDSA,Quezon City,Cubao,NCR,RC,80000,
VIVALDI RESIDENCES,628 EDSA,Quezon City,Cubao,NCR,CC,93000,
ALL OTHER CONDOS ,SAME AS ALL OTHER,Quezon City,Cubao,NCR,RC,50000,
ALL OTHER CONDOS ,CONDOMINIUMS,Quezon City,Cubao,NCR,CC,60000,
ALL OTHER TOWNHOUSES (CCT)- OLD,SAME AS ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,RC,40000,
ALL OTHER TOWNHOUSES (CCT),SAME AS ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,RC,40000,
ALL OTHER TOWNHOUSES (CCT),SAME AS ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,CC,49000,
ALL OTHER TOWNHOUSES (CCT),SAME AS ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,PS,34000,
ALL OTHER CONDOMINIUMS,SAME AS ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,RC,50000,
ALL OTHER CONDOMINIUMS,SAME AS ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,CC,60000,
ALL OTHER CONDOMINIUMS,SAME AS ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,PS,42000,
STREETS/SUBDIVISIONS/ CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,Quezon City,Cubao,NCR,CLASSIFICATION,6TH REVISION ZV/SQ.M,
ACHILLES ST.   ,MILKFISH-CALYPSO AVE.,Quezon City,Cubao,NCR,RR,65000,
ACHILLES ST.   ,MILKFISH-CALYPSO AVE.,Quezon City,Cubao,NCR,CR,75000,
ACROPOLIS SUBD,"E. RODRIGUEZ, JR.",Quezon City,Cubao,NCR,RR,65000,
ACROPOLIS SUBD,GREENMEADOWS AVE.,Quezon City,Cubao,NCR,CR,75000,
ADONIS/SWALLOW DRIVE,CECILLEVILLE-CALYPSO AVE.,Quezon City,Cubao,NCR,RR,65000,
ADONIS/SWALLOW DRIVE,CECILLEVILLE-CALYPSO AVE.,Quezon City,Cubao,NCR,CR,75000,
ANDROMEDA ST.  ,MILKFISH-CALYPSO AVE.,Quezon City,Cubao,NCR,RR,65000,
ANDROMEDA ST.  ,MILKFISH-CALYPSO AVE.,Quezon City,Cubao,NCR,CR,75000,
APOLLO ST.,POSEIDON-TITAN,Quezon City,Cubao,NCR,RR,65000,
APOLLO ST.,POSEIDON-TITAN,Quezon City,Cubao,NCR,CR,75000,
ATLAS ST.(ANGEL FISH),ACHILES-MILKFISH,Quezon City,Cubao,NCR,RR,65000,
ATLAS ST.(ANGEL FISH),ACHILES-MILKFISH,Quezon City,Cubao,NCR,CR,75000,
BROADWAY ROAD,ORCHARDROAD,Quezon City,Cubao,NCR,RR,150000,
CALLE INDUSTRIA,E. RODRIGUEZ - CARUNCHO ROAD,Quezon City,Cubao,NCR,RR,75000,
CALLE INDUSTRIA,E. RODRIGUEZ - CARUNCHO ROAD,Quezon City,Cubao,NCR,CR,90000,
CALLE INDUSTRIA,E. RODRIGUEZ - CARUNCHO ROAD,Quezon City,Cubao,NCR,I,87000,
CALLE OBRERO/LIGAYA,CALLE INDUSTRIA-DEL ROSARIO,Quezon City,Cubao,NCR,RR,70000,
CALLE OBRERO/LIGAYA,CALLE INDUSTRIA-DEL ROSARIO,Quezon City,Cubao,NCR,CR,85000,
 ,CALLE INDUSTRIA-DEL ROSARIO,Quezon City,Cubao,NCR,I,82000,
CALYPSO AVE./CARPA ROAD,GREENMEADOWS AVE.,Quezon City,Cubao,NCR,RR,65000,
CALYPSO AVE./CARPA ROAD,CARPA ROAD,Quezon City,Cubao,NCR,CR,75000,
CARPA ROAD,TITAN-GUFFY,Quezon City,Cubao,NCR,RR,65000,
CARPA ROAD,TITAN-GUFFY,Quezon City,Cubao,NCR,CR,75000,
CARUNCHO ROAD,CALLE INDUSTRIA-MARIKINA RIVER,Quezon City,Cubao,NCR,RR,75000,
CARUNCHO ROAD,CALLE INDUSTRIA-MARIKINA RIVER,Quezon City,Cubao,NCR,CR/I,85000,
DEL ROSARIO/STO. ROSARIO,OBRERO- SAN ROQUE,Quezon City,Cubao,NCR,RR,60000,
DEL ROSARIO/STO. ROSARIO,OBRERO- SAN ROQUE,Quezon City,Cubao,NCR,CR,70000,
E. COMMERCE AVE.,EASTWOOD AVE.,Quezon City,Cubao,NCR,CR,200000,
"E. RODRIGUEZ AVE.,JR.",L. PASCO-GREENMEADOWS AVE.,Quezon City,Cubao,NCR,CR,190000,
"E. RODRIGUEZ AVE.,JR.",L. PASCO-GREENMEADOWS AVE.,Quezon City,Cubao,NCR,RR,150000,
"E. RODRIGUEZ AVE.,JR.",L. PASCO-GREENMEADOWS AVE.,Quezon City,Cubao,NCR,I,172000,
EASTWOOD AVE.,E. RODRIGUEZ-EASTWOOD CITY,Quezon City,Cubao,NCR,CR,200000,
ECONOMIA,CALLE INDUSTRIA,Quezon City,Cubao,NCR,CR,90000,
GOLD FISH,ACHILES-CATFISH,Quezon City,Cubao,NCR,RR,65000,
GOLD FISH,ACHILES-CATFISH,Quezon City,Cubao,NCR,CR,75000,
GREENMEADOWS AVE.,E. RODRIGUEZ-WHITEFIELD AVE.,Quezon City,Cubao,NCR,RR,80000,
GREENMEADOWS AVE.,E. RODRIGUEZ-WHITEFIELD AVE.,Quezon City,Cubao,NCR,CR,90000,
GUFFY,TITAN-CARPA,Quezon City,Cubao,NCR,RR,65000,
GUFFY,TITAN-CARPA,Quezon City,Cubao,NCR,CR,75000,
J. M. BASA,TITAN-CARPA,Quezon City,Cubao,NCR,RR,*,
JEWEL FISH,ACHILES-CATFISH,Quezon City,Cubao,NCR,RR,65000,
JEWEL FISH,ACHILES-CATFISH,Quezon City,Cubao,NCR,CR,75000,
MANGAHAN,CALLE INDUSTRIA,Quezon City,Cubao,NCR,RR,50000,
MANGAHAN,CALLE INDUSTRIA,Quezon City,Cubao,NCR,CR/I,65000,
MERCURY AVENUE,E. RODRIGUEZ-MARIKINA RIVER,Quezon City,Cubao,NCR,RR,100000,
MERCURY AVENUE,E. RODRIGUEZ-MARIKINA RIVER,Quezon City,Cubao,NCR,CR,100000,
MERCURY AVENUE,E. RODRIGUEZ-MARIKINA RIVER,Quezon City,Cubao,NCR,I,90000,
MOLLY,TITAN-MILK FISH,Quezon City,Cubao,NCR,RR,65000,
MOLLY,TITAN-MILK FISH,Quezon City,Cubao,NCR,CR,75000,
OBRERO,CALLE INDUSTRIA -,Quezon City,Cubao,NCR,RR,70000,
OBRERO, MARIKINA RIVER,Quezon City,Cubao,NCR,CR/I,85000,
ODYSSEUS ST. (GOLD FISH) ,ACHILLES-CAT FISH,Quezon City,Cubao,NCR,RR,65000,
ODYSSEUS ST. (GOLD FISH) ,ACHILLES-CAT FISH,Quezon City,Cubao,NCR,CR,75000,
ORCHARD ROAD,EASTWOOD AVE,Quezon City,Cubao,NCR,CR,200000,
PENELOPE ST. (CAT FISH),ACHILES-JEWEL FISH,Quezon City,Cubao,NCR,RR,65000,
PENELOPE ST. (CAT FISH),ACHILES-JEWEL FISH,Quezon City,Cubao,NCR,CR,75000,
STREETS/SUBDIVISIONS/ CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,Quezon City,Cubao,NCR,CLASSIFICATION,6TH REVISION ZV/SQ.M,
POSEIDON ST./GUFFY,E. RODRIGUEZ-TITAN,Quezon City,Cubao,NCR,RR,65000,
POSEIDON ST./GUFFY,E. RODRIGUEZ-TITAN,Quezon City,Cubao,NCR,CR,75000,
SAN GABRIEL,SAN ROQUE-SAN JOSE,Quezon City,Cubao,NCR,RR,60000,
SAN GABRIEL,SAN ROQUE-SAN JOSE,Quezon City,Cubao,NCR,I,70000,
SAN JOSE,CALLE INDUSTRIA-SAN GABRIEL,Quezon City,Cubao,NCR,RR,60000,
SAN JOSE,CALLE INDUSTRIA-SAN GABRIEL,Quezon City,Cubao,NCR,I,70000,
SAN ROQUE,CALLE INDUSTRIA-DEL ROSARIO,Quezon City,Cubao,NCR,RR,60000,
      ,CALLE INDUSTRIA-DEL ROSARIO,Quezon City,Cubao,NCR,I,70000,
SELECT ,CALLYPSO AVE.,Quezon City,Cubao,NCR,RR,65000,
SELECT ,GREENMEADOWS AVE.,Quezon City,Cubao,NCR,CR/I,75000,
STA. MARIA,OBRERO-SAN ROQUE,Quezon City,Cubao,NCR,RR,60000,
STA. MARIA,OBRERO-SAN ROQUE,Quezon City,Cubao,NCR,I,70000,
SWORD TALL,GREENMEADOWS-ACHILLES,Quezon City,Cubao,NCR,RR,65000,
SWORD TALL,GREENMEADOWS-ACHILLES,Quezon City,Cubao,NCR,CR,75000,
TAWIRAN,OBRERO-SAN ROQUE,Quezon City,Cubao,NCR,RR,60000,
TITAN,E. RODRIGUEZ JR. AVE.-MOLLY,Quezon City,Cubao,NCR,RR,65000,
TITAN,E. RODRIGUEZ JR. AVE.-MOLLY,Quezon City,Cubao,NCR,CR,75000,
ALL OTHER STREETS,E. RODRIGUEZ JR. AVE.-MOLLY,Quezon City,Cubao,NCR,RR,49000,
ALL OTHER STREETS,E. RODRIGUEZ JR. AVE.-MOLLY,Quezon City,Cubao,NCR,CR/I,69000,
ALL OTHER STREETS,E. RODRIGUEZ JR. AVE.-MOLLY,Quezon City,Cubao,NCR,X,61000,
ALL OTHER STREETS,E. RODRIGUEZ JR. AVE.-MOLLY,Quezon City,Cubao,NCR,GL,61000,
878 RESIDENCES,E. RODRIGUEZ,Quezon City,Cubao,NCR,RC,87000,
878 RESIDENCES,E. RODRIGUEZ,Quezon City,Cubao,NCR,CC,101000,
ACROPOLIS TOWNHOUSE   ,AROPOLIS DRIVE,Quezon City,Cubao,NCR,RC,52000,
ASPIRE @ NUVO CITY   ,"E. RODRIGUEZ, JR. ",Quezon City,Cubao,NCR,RC,115000,
ASPIRE @ NUVO CITY   ,COR CALLE INDUSTRIA,Quezon City,Cubao,NCR,CC,115000,
CIRCULA VERDE PHASE I (SAME AS,70 CALLE INDUSTRIA,Quezon City,Cubao,NCR,RC,90000,
SEVILLE RESIDENCIAL TOWER I-E),70 CALLE INDUSTRIA,Quezon City,Cubao,NCR,CC,100000,
CIRCULO VERDE GARDEN HOMES,70 CALLE INDUSTRIA,Quezon City,Cubao,NCR,RC,90000,
CIRCULO VERDE GARDEN HOMES,70 CALLE INDUSTRIA,Quezon City,Cubao,NCR,CC,100000,
CIRCULO VERDE LLEIDA TOWER,170 CALLE INDUSTRIA,Quezon City,Cubao,NCR,RC,95000,
CIRCULO VERDE LLEIDA TOWER,170 CALLE INDUSTRIA,Quezon City,Cubao,NCR,CC,110000,
CYBER ONE CONDO     ,EASTWOOD AVE,Quezon City,Cubao,NCR,CC,92000,
DREAM @ NUVO CITY,"150 E. RODRIGUEZ, JR. AVE.",Quezon City,Cubao,NCR,RC,97000,
DREAM @ NUVO CITY,"150 E. RODRIGUEZ, JR. AVE.",Quezon City,Cubao,NCR,CC,115000,
EASTWOOD CORPORATE CENTER,EASTWOOD AVE,Quezon City,Cubao,NCR,CC,110000,
EASTWOOD GLOBAL PLAZA ,"PALM TREE AVE., EASTWOOD CITY",Quezon City,Cubao,NCR,RC,95000,
LUXURY RESIDENCES,"PALM TREE AVE., EASTWOOD CITY",Quezon City,Cubao,NCR,CC,110000,
EASTWOOD LAFYETTE,EASTWOOD AVE,Quezon City,Cubao,NCR,RC,90000,
EASTWOOD LAFYETTE,EASTWOOD AVE,Quezon City,Cubao,NCR,CC,105000,
EASWOOD LEGRAND I,E COMMERCE AVE.,Quezon City,Cubao,NCR,RC,90000,
EASWOOD LEGRAND I,E COMMERCE AVE.,Quezon City,Cubao,NCR,CC,105000,
EASWOOD LEGRAND II,E COMMERCE AVE.,Quezon City,Cubao,NCR,RC,90000,
EASWOOD LEGRAND II,E COMMERCE AVE.,Quezon City,Cubao,NCR,CC,105000,
EASTWOOD LEGRANDE TOWER III,E COMMERCE AVE.,Quezon City,Cubao,NCR,RC,90000,
EASTWOOD LEGRANDE TOWER III,E COMMERCE AVE.,Quezon City,Cubao,NCR,CC,105000,
EASTWOOD PARKVIEW 1   ,ORCHARD ROAD,Quezon City,Cubao,NCR,RC,90000,
EASTWOOD PARKVIEW 1   ,ORCHARD ROAD,Quezon City,Cubao,NCR,CC,105000,
EASTWOOD PARKVIEW 2  ,ORCHARD ROAD,Quezon City,Cubao,NCR,RC,90000,
EASTWOOD PARKVIEW 2  ,ORCHARD ROAD,Quezon City,Cubao,NCR,CC,105000,
E COMMERCE PLAZA CONDO,"#1 GARDEN ROAD EASTWOOD CITY, CYBERPARK BAGUMBAYAN",Quezon City,Cubao,NCR,RC,100000,
E COMMERCE PLAZA CONDO,"#1 GARDEN ROAD EASTWOOD CITY, CYBERPARK BAGUMBAYAN",Quezon City,Cubao,NCR,CC,110000,
GRAND EASTWOOD PALAZZO    ,EASTWOOD AVE,Quezon City,Cubao,NCR,RC,90000,
GRAND EASTWOOD PALAZZO    ,EASTWOOD AVE,Quezon City,Cubao,NCR,CC,105000,
IBM PLAZA    ,EASTWOOD AVE,Quezon City,Cubao,NCR,CC,110000,
ONE EASTWOOD AVENUE TOWER 2 ,EASTWOOD AVE.,Quezon City,Cubao,NCR,RC,100000,
   (UNDER CONSTRUCTION),EASTWOOD AVE.,Quezon City,Cubao,NCR,CC,115000,
STREETS/SUBDIVISIONS/ CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,Quezon City,Cubao,NCR,CLASSIFICATION,6TH REVISION ZV/SQ.M,
OLYMPIC HEIGHTS,ORCHARD ROAD,Quezon City,Cubao,NCR,RC,90000,
OLYMPIC HEIGHTS,ORCHARD ROAD,Quezon City,Cubao,NCR,CC,105000,
ONE ORCHARD RD.    ,ORCHARD ROAD,Quezon City,Cubao,NCR,RC,92000,
ONE CENTRAL PARK         ,ORCHARD ROAD,Quezon City,Cubao,NCR,RC,87000,
ONE CENTRAL PARK         ,ORCHARD ROAD,Quezon City,Cubao,NCR,CC,105000,
THE EASTWOOD EXCELSIOR        ,EASTWOOD AVE,Quezon City,Cubao,NCR,RC,90000,
THE EASTWOOD EXCELSIOR        ,EASTWOOD AVE,Quezon City,Cubao,NCR,CC,105000,
THE EASTWOOD LAFAYETTE 1  ,EASTWOOD AVE,Quezon City,Cubao,NCR,RC,90000,
THE EASTWOOD LAFAYETTE 1  ,EASTWOOD AVE,Quezon City,Cubao,NCR,CC,105000,
THE EASTWOOD LAFAYETTE 2   ,EASTWOOD AVE,Quezon City,Cubao,NCR,RC,90000,
THE EASTWOOD LAFAYETTE 2   ,EASTWOOD AVE,Quezon City,Cubao,NCR,CC,105000,
THE EASTWOOD LAFAYETTE 3  ,EASTWOOD AVE,Quezon City,Cubao,NCR,RC,90000,
ALL OTHER CONDOMINIUM - OLD,INCLUDED IN ALL OTHER,Quezon City,Cubao,NCR,RC,90000,
ALL OTHER CONDOMINIUM - OLD,CONDOMINIUMS,Quezon City,Cubao,NCR,CC,102000,
ALL OTHER TOWNHOUSES (CCT)- OLD,INCLUDED IN ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,RC,50000,
ALL OTHER TOWNHOUSES (CCT),INCLUDED IN ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,RC,50000,
ALL OTHER TOWNHOUSES (CCT),INCLUDED IN ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,CC,59000,
ALL OTHER TOWNHOUSES (CCT),INCLUDED IN ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,PS,41000,
ALL OTHER CONDOMINIUMS,INCLUDED IN ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,RC,90000,
ALL OTHER CONDOMINIUMS,INCLUDED IN ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,CC,102000,
ALL OTHER CONDOMINIUMS,INCLUDED IN ALL OTHER TOWNHOUSES,Quezon City,Cubao,NCR,PS,71000,
STREETS/SUBDIVISIONS/ CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,Quezon City,Cubao,NCR,CLASSIFICATION,6TH REVISION ZV/SQ.M,
A. LUNA,F. CASTILLO-E. EVANGELISTA,Quezon City,Cubao,NCR,RR,30000,
A. LUNA,F. CASTILLO-E. EVANGELISTA,Quezon City,Cubao,NCR,CR,38000,
AURORA BLVD.,F. CASTILLO-CREEK,Quezon City,Cubao,NCR,CR,90000,
AURORA BLVD.,F. CASTILLO-CREEK,Quezon City,Cubao,NCR,X,80000,
