PROVINCE / LGU,active_establishments_in_the_locality,cost_of_doing_business,cost_of_living,employment_generation,financial_deepening,local_economy_growth,local_economy_size,presence_of_business_and_professional_organizations,productivity,safety_compliant_business,capacity_of_health_services,capacity_of_school_services,capacity_to_generate_local_resource,compliance_to_arta_citizens_charter,compliance_to_national_directives,getting_business_permits,peace_and_order,presence_of_investment_promotion_unit,recognition_of_performance,social_protection,accommodation_capacity,availability_of_basic_utilities,distance_to_ports,education,financial_technology_capacity,health,information_technology_capacity,lgu_investment,road_network,transportation_vehicles,availability_of_basic_internet_service,ict_plan,ict_use__e-bpls_software,innovation_financing__r&d_expenditures_allotment,intellectual_property_registration,internet_capability,new_technology,online_payment_facilities,start_up_and_innovation_facilities,stem_graduates,economic_dynamism,government_efficiency,infrastructure,innovation,overall_score,resiliency,annual_disaster_drill,budget_for_drrmp,disaster_risk_reduction_plan,early_warning_system,emergency_infrastructure,employed_population,land_use_plan,local_risk_assessments,sanitary_system,utilities
Mandaluyong,0.3871,1.4006,0.7925,0.0841,0.1423,1.1379,0.4071,0.2414,0.1379,0.2642,0.468,0.3541,0.3404,2.0,1.0,2.0,0.0435,2.0001,0.2701,0.0,0.0285,1.6337,1.8919,0.1485,0.2246,0.2013,0.0176,0.3231,0.1937,0.1038,0.1221,2.0001,2.0,0.0012,0.4194,1.0048,0.0098,2.0,0.0948,0.2009,4.9951,8.4762,4.7667,7.8531,37.7354,11.6443,1.0067,0.2839,2.0,1.0151,0.4614,0.0168,1.85,2.0,1.5011,1.5093
Makati,0.5589,1.0128,0.7925,1.0473,0.6374,0.2141,1.3742,0.0185,1.0193,0.7263,0.6316,0.5131,1.2444,2.0,1.5,2.0,0.0261,2.0001,0.5342,0.6043,0.9599,1.6337,1.8305,0.1526,0.763,0.3462,0.8386,0.1121,0.4809,0.163,0.0813,2.0001,2.0,0.0573,0.5085,1.2294,0.8,2.0,0.0716,0.1935,7.4013,11.0538,7.2805,8.9417,47.1135,12.4362,1.0067,0.2615,1.75,1.0942,0.7572,0.7572,1.725,2.0,1.5011,1.5833
Malabon,0.1748,1.1834,0.7925,0.0784,0.0619,0.0936,0.0136,0.0111,0.0752,0.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navotas,0.1101,1.3818,0.7925,0.0286,0.0052,0.3122,0.0144,0.0007,0.0368,0.0687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muntinlupa,0.3883,1.3622,0.7925,0.2558,0.567,0.1939,0.1235,0.0954,0.2319,0.2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pateros,0.2853,1.305,0.8844,0.0578,0.206,0.0016,0.034,0.1634,0.0445,0.1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso,0.4357,1.6738,1.0884,0.1218,0.2981,0.0016,0.0136,0.0152,0.0791,0.2777,0.1601,0.0739,0.117,2.0,1.913,2.0,0.3429,1.9231,0.1471,1.1911,0.0749,0.6502,1.7185,0.0769,0.0454,0.117,0.2907,0.0019,0.0022,0.1022,0.7541,2.0001,2.0,0.0006,0.0449,1.165,1.1852,2.0,0.0693,0.0631,4.005,9.8682,3.0799,9.2823,37.8125,11.5771,1.1071,0.035,1.9583,1.0268,0.3769,0.0787,1.9853,2.0,1.5014,1.5076
Amadeo,0.8487,1.5612,1.2,0.6885,0.1021,0.0,0.0578,0.0008,0.433,1.3152,0.0136,0.0334,0.1193,2.0,1.9259,2.0,0.0881,1.8572,0.0513,0.1936,0.0161,0.3236,1.8647,0.1447,0.2727,0.1154,1.0667,0.0213,0.0001,0.0232,0.0,0.6667,2.0,0.0,0.188,0.5217,0.0,0.0,0.0,0.0,6.2073,8.2824,3.8485,3.3764,32.9745,11.2599,1.0036,0.0,1.9762,1.0059,0.3949,0.0031,1.8684,2.0,1.5003,1.5075
Bacoor,1.2262,1.06,1.113,0.3538,1.0913,0.0121,0.1372,0.0301,0.1247,0.947,0.0697,0.1676,0.8471,2.0,1.8929,2.0,0.0105,1.9683,0.6129,0.3311,0.1954,1.4912,1.9219,0.5932,0.6797,0.2126,0.1955,0.1612,0.0015,0.3114,0.1514,2.0001,2.0,1.0019,0.3772,1.0191,0.0127,2.0,0.6052,0.0733,6.0954,9.9001,5.7636,9.2409,42.4248,11.4248,1.02,0.1,1.9524,1.0007,0.469,0.0183,1.8571,2.0,1.5283,1.479
Carmona,0.4494,1.6098,1.0884,0.7907,0.6155,0.0009,0.9584,0.035,1.6201,0.4702,0.3926,0.0733,0.6813,2.0,1.8696,2.0,0.2286,1.8719,1.0516,1.0614,0.0052,0.6502,1.8774,0.2321,0.4094,0.2327,0.1938,0.0016,0.0038,0.1335,0.4396,2.0001,2.0,0.0004,0.0836,1.11,1.7037,2.0,0.1731,0.0235,7.6384,11.2303,3.7397,9.534,43.7654,11.623,1.004,0.0399,1.7917,1.0026,0.5091,0.1993,1.9706,2.0,1.5315,1.5743
Cavite,0.3325,1.3651,1.113,0.0346,0.1547,0.0122,0.0176,0.006,0.0043,0.1979,0.219,0.0987,0.0548,2.0,1.9286,2.0,0.0524,1.9683,0.1139,0.4065,0.0,0.9822,1.9895,0.0991,0.1195,0.1484,0.0652,0.2174,0.0036,0.0502,0.7168,2.0001,2.0,0.0069,0.0771,1.0064,0.0021,0.0,0.101,0.113,3.2379,8.8422,3.6751,6.0234,33.0578,11.2792,1.0036,0.0924,1.9762,1.0002,0.4156,0.0,1.8036,2.0,1.5068,1.4808
Dasmarinas,2.0,1.2217,1.113,0.5837,1.2939,0.0121,0.1525,0.2494,0.1775,1.4727,0.1395,0.3904,1.0134,2.0,1.9286,2.0,0.0105,1.8413,0.2428,0.3115,0.0696,1.3647,1.7992,0.8351,0.2833,0.6206,0.6566,1.4957,0.0087,0.2835,0.9507,1.3334,2.0,0.0176,0.4433,1.0642,0.0847,2.0,1.2505,0.6197,8.2765,9.878,7.417,9.7641,46.9285,11.5929,1.0036,0.1,1.9762,1.0466,0.5375,0.0268,1.875,2.0,1.5131,1.5141
Gen. Emilio Aguinaldo,1.1124,1.5655,0.8037,0.6064,0.253,0.0034,0.1271,0.1166,0.3448,0.8427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen. Mariano Alvarez,0.3996,1.5066,1.0884,0.1307,0.4874,0.0011,0.0418,0.0228,0.1436,0.3339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Trias,0.8839,1.2953,1.113,0.3407,0.4462,0.0132,0.703,0.0155,0.4641,1.4269,0.1034,0.1586,1.0168,2.0,1.9286,2.0,0.0105,1.9683,0.2723,0.2751,0.0602,1.58,1.8954,0.2142,0.1399,0.2428,0.6316,1.2388,0.0074,0.1583,0.2423,1.3334,2.0,0.0,0.1386,1.0618,0.0212,0.0,0.2045,0.0548,6.7018,9.7336,6.1686,5.0566,39.3679,11.7073,1.0036,0.1,1.9762,1.0003,0.5908,0.0239,1.9821,2.0,1.5285,1.5019
Imus,1.4144,1.2757,1.113,0.254,0.8375,0.0116,0.2906,0.0843,0.142,1.043,0.1753,0.266,0.5889,2.0,1.8571,2.0,0.0209,1.9683,0.7224,0.3545,0.0277,1.3292,1.9096,0.3471,0.5193,0.3681,0.5815,0.1396,0.0012,0.2403,0.2715,1.3334,2.0,0.0,0.2999,1.0569,0.0932,2.0,0.2386,0.1597,6.4661,9.9534,5.4636,7.4532,41.6118,12.2755,1.2162,0.1,1.9762,1.0127,0.5936,0.4454,1.9107,2.0,1.5166,1.5041
Indang,0.3765,1.6717,1.0884,0.0734,0.2213,0.0008,0.0158,0.0076,0.0557,0.2389,0.1408,0.0637,0.0857,2.0,1.9565,1.5,0.3143,0.6667,0.0604,0.9621,0.0045,0.6535,1.7243,0.1382,0.0785,0.0538,0.2291,0.0017,0.0009,0.0748,0.5463,2.0001,2.0,0.0,0.0842,1.13,0.0,2.0,0.1037,0.2367,3.7501,7.7502,2.9593,8.101,34.0289,11.4683,1.0048,0.035,1.9583,1.0005,0.3772,0.1,1.9853,2.0,1.5013,1.5059
Kawit,0.5758,1.385,1.0884,0.3124,0.3292,0.0012,0.1131,0.0053,0.2691,0.3589,0.3001,0.0255,0.2732,2.0,1.7826,1.5,0.1714,1.7693,0.0,0.105,0.0046,0.6529,1.8862,0.0391,0.2479,0.1637,0.1762,0.0012,0.0025,0.1808,0.7855,0.0,2.0,0.0,0.0586,1.1,0.0741,0.0,0.0,0.0,4.4384,7.9271,3.3551,4.0182,30.7138,10.975,1.0032,0.035,1.9583,1.0061,0.0988,0.0027,1.8529,2.0,1.5181,1.4999
Magallanes (CE),0.4692,1.5751,1.2,0.1613,0.0669,0.0,0.015,0.0007,0.1244,0.3402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maragondon,0.6971,1.582,1.2,0.4236,0.1581,0.0,0.0544,0.0,0.2817,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendez,0.7541,1.5975,1.2,0.4558,0.1576,0.0,0.0527,0.0,0.3689,1.3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naic,0.6221,1.6372,1.0884,0.2257,0.6503,0.001,0.0441,0.0,0.1384,0.3048,0.1586,0.0476,0.0727,2.0,1.913,1.5,0.1429,1.8975,0.3458,0.9099,0.0057,0.6396,1.8222,0.1296,0.1322,0.0667,0.326,0.0018,0.0006,0.1989,0.0,0.6667,2.0,0.0,0.0231,1.185,0.0,0.0,0.1,0.0078,4.712,8.988,3.3233,3.9826,32.4348,11.4289,1.0032,0.035,1.9583,1.0005,0.4258,0.0158,1.9853,2.0,1.5013,1.5037
Noveleta,0.7924,1.563,1.2,0.3727,0.6099,0.0,0.1187,0.0,0.3905,0.6357,0.0151,0.0115,0.1143,2.0,1.9259,1.5,0.0629,1.9763,0.3333,0.1079,0.0,0.3397,1.9752,0.138,0.4095,0.353,0.4,0.0287,0.0001,0.013,0.0,0.6667,2.0,0.0,0.0606,1.1957,0.0,2.0,0.0,0.0,5.6829,8.0472,3.6572,5.923,34.2922,10.9819,1.0036,0.0,1.9524,1.0059,0.0416,0.0056,1.9737,2.0,1.5003,1.4988
Rosario (CE),0.4651,1.5835,1.0884,0.169,0.4597,0.0006,0.0934,0.0181,0.1966,0.3365,0.2974,0.0811,0.1092,2.0,1.9565,2.0,0.1714,1.9744,0.2879,1.044,0.0068,0.6359,1.8787,0.1526,0.5455,0.1693,0.1233,0.0013,0.0014,0.1317,0.7132,2.0001,2.0,0.0019,0.0123,1.07,0.2963,2.0,0.1684,0.0189,4.4109,9.9219,3.6465,8.2811,38.6744,12.414,1.1586,0.035,1.9583,1.0066,0.4941,0.7606,1.9853,2.0,1.5052,1.5103
Silang,0.9564,1.5781,1.0884,0.5438,0.9855,0.0007,0.3241,0.0006,0.6512,0.6486,0.2078,0.0808,0.2928,2.0,1.7826,2.0,0.1143,1.8206,0.1076,0.8321,0.0418,0.6535,1.8014,0.4588,0.3388,0.366,0.5551,0.0018,0.001,0.1355,0.3014,1.3334,2.0,0.0,0.1353,1.315,0.1481,2.0,0.4015,0.0318,6.7774,9.2386,4.3537,7.6665,40.0061,11.9699,1.0032,0.035,1.9167,1.021,0.6039,0.4658,1.8971,2.0,1.5148,1.5124
Tagaytay,0.3539,1.3273,1.113,0.1088,0.3945,0.0136,0.0487,0.0026,0.0314,0.2485,0.2735,0.1824,0.4139,2.0,1.9286,2.0,0.178,1.7778,0.3867,0.5013,0.5303,1.5785,1.5474,0.1052,0.2287,0.1043,0.1955,0.2361,0.0001,0.0443,0.5201,2.0001,2.0,0.0468,0.0528,1.0191,0.0,0.0,0.0606,0.0295,3.6423,9.6422,4.5704,5.729,35.0134,11.4295,1.0036,0.1,1.9524,1.0002,0.4188,0.0008,1.9643,2.0,1.5002,1.4892
Tanza,0.7442,1.551,1.0884,1.2716,0.6159,0.0014,0.1551,0.0274,0.4149,1.3626,0.1414,0.2463,0.2164,2.0,1.9565,2.0,0.1143,1.9488,0.0312,0.5781,0.017,0.6434,1.9468,0.2789,0.4299,0.2884,0.2555,0.0013,0.0007,0.2738,0.5887,1.3334,2.0,0.0008,0.0816,1.145,0.2963,2.0,0.1,0.0049,7.2325,9.233,4.1357,7.5507,39.9054,11.7535,1.0048,0.035,1.9583,1.0001,0.5262,0.1307,1.9853,2.0,1.5261,1.587
Ternate,0.2673,1.6083,1.2,0.1145,0.0817,0.0,0.0063,0.0024,0.0611,0.1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trece Martires,0.6558,1.2173,1.113,0.119,0.224,0.0092,0.0505,0.0034,0.0435,0.6701,0.0967,0.285,0.2696,2.0,1.9286,2.0,0.0419,1.9048,0.2303,0.033,0.0092,1.58,1.8463,0.1956,0.157,0.17,0.1353,0.1586,0.0006,0.158,0.3004,1.3334,2.0,0.0559,0.0348,1.0152,0.0,0.0,0.0995,0.4411,4.1058,8.7899,4.4106,5.2803,33.9622,11.3756,1.0554,0.1,1.9762,1.0001,0.3977,0.0013,1.8393,2.0,1.5058,1.4998
Angono,0.7213,1.6673,0.6293,0.5911,0.5211,0.0024,0.0864,0.0338,0.3187,0.4668,0.5375,0.053,0.1635,2.0,1.6957,2.0,0.2286,1.8206,0.2306,1.6177,0.0437,0.6535,1.9457,0.1439,1.3058,0.4189,0.5903,0.008,0.0041,0.5954,0.5069,1.3334,2.0,0.0027,0.0421,1.335,0.0,2.0,0.7018,0.0,5.0382,10.3472,5.7093,7.9219,41.1974,12.1808,1.0773,0.0455,1.9583,1.0136,0.5168,0.6369,1.8971,2.0,1.5009,1.5344
Antipolo,1.4572,1.3771,0.6435,0.5493,1.0865,0.0163,0.3716,0.0542,0.2025,1.1259,0.2362,0.4765,1.4518,2.0,1.9643,2.0,0.0,1.9048,0.5814,0.4441,0.3994,1.5398,1.8375,1.1394,1.5358,0.5266,1.1278,1.3897,0.0037,0.4007,0.1815,2.0001,2.0,0.0062,0.8279,1.1216,0.0339,2.0,1.0048,0.1068,6.8841,11.0591,9.9004,9.2828,50.4242,13.2978,1.0718,0.1372,1.9762,2.0,0.5426,0.4156,1.9643,2.0,1.5953,1.5948
Baras (RL),1.0523,1.5882,0.8625,0.5318,0.4505,0.0,0.1415,0.0016,0.5131,0.8111,0.0185,0.0038,0.2759,2.0,1.9259,2.0,0.0818,1.9524,0.1847,0.2018,0.01,0.3299,1.8785,0.0907,0.319,0.1886,0.6667,0.0695,0.0,0.0119,0.6652,1.3334,2.0,0.0222,0.1947,1.3261,0.016,2.0,0.0006,0.0,5.9526,8.6448,3.5648,7.5582,37.2309,11.5105,1.0036,0.0,1.9762,1.0079,0.4696,0.0551,1.9868,2.0,1.5,1.5113
Binangonan,1.3734,1.6483,0.6293,0.4624,1.0806,0.0008,0.1337,0.0513,0.4022,0.9752,0.2102,0.109,0.1992,2.0,1.9565,2.0,0.7143,1.8719,0.1034,0.8085,0.2407,0.6507,1.923,0.2194,0.343,0.4225,0.7137,0.0095,0.0018,0.3321,0.3427,1.3334,2.0,0.0001,0.0776,1.405,0.0,2.0,0.1667,0.1115,6.7572,9.973,4.8564,7.437,41.7879,12.7643,1.0024,0.0377,1.9167,1.0045,0.6117,1.0207,1.9853,2.0,1.5009,1.6844
Cainta,1.6694,1.4442,0.6293,1.9085,1.2347,0.0006,0.6745,0.0233,1.666,1.1655,0.325,0.3151,1.1865,2.0,1.7826,2.0,0.1143,1.7693,0.2135,1.0561,0.0164,0.6434,1.9389,0.5207,1.0011,0.6037,0.2026,0.0008,0.0079,0.1676,0.6561,1.3334,2.0,0.0,0.5377,1.08,0.0741,2.0,0.8274,0.355,10.416,10.7624,5.1031,8.8637,47.2492,12.104,1.0097,0.035,1.9583,1.0011,0.5136,0.6326,1.9265,2.0,1.5216,1.5056
Cardona,0.2236,1.557,0.8625,1.0084,0.1533,0.0,0.0344,0.0003,0.2369,0.2396,0.0428,0.0222,0.1838,2.0,1.8148,2.0,0.0566,1.8334,0.2753,0.2083,0.0,0.3198,1.9178,0.2531,0.1364,0.2743,0.6222,0.0427,0.0001,0.0134,0.0992,2.0001,2.0,0.001,0.0,1.3043,0.0,2.0,0.0741,0.0459,4.316,8.4372,3.5798,7.5246,35.3501,11.4925,1.1372,0.0,1.9762,1.0079,0.4279,0.0054,1.9342,2.0,1.5001,1.5036
Jalajala,0.3932,1.5865,0.8625,0.3822,0.1542,0.0,0.0322,0.0022,0.2352,0.363,0.0282,0.038,0.3038,2.0,1.8519,1.5,0.0818,1.9763,0.0833,0.202,0.0021,0.2606,1.809,0.2629,0.0909,0.2009,0.3111,0.0254,0.0001,0.0145,0.1243,2.0001,2.0,0.0,0.0484,1.1304,0.0,0.0,0.2328,0.1158,4.0112,8.0653,2.9775,5.6518,32.1463,11.4405,1.0036,0.0,1.9762,1.0257,0.4411,0.0034,1.9868,2.0,1.5001,1.5036
Morong (RL),0.2372,1.6405,0.6293,0.1196,0.4997,0.0006,0.1547,0.0694,0.2365,0.1482,0.4157,0.1842,0.0926,2.0,1.9565,2.0,0.2571,1.9744,0.4369,1.1818,0.0064,0.6535,1.8986,0.129,0.0838,0.2534,0.2907,0.0017,0.0013,0.0442,0.3663,2.0001,2.0,0.0005,0.0577,1.165,1.4074,2.0,0.3037,0.1964,3.7357,10.4992,3.3626,9.4971,38.6382,11.5436,1.0032,0.035,1.9583,1.0035,0.4918,0.0502,1.9853,2.0,1.5003,1.516
Pililla,0.1846,1.6178,0.6293,0.0829,0.2126,0.0004,0.0162,0.0327,0.0601,0.1258,0.2247,0.0882,0.0937,2.0,1.7826,2.0,0.2,1.9488,0.1239,0.7216,0.0,0.6387,1.8619,0.0786,0.0579,0.0471,0.326,0.0016,0.0011,0.074,0.3717,2.0001,2.0,0.0007,0.0193,1.185,0.0,0.0,0.0095,0.0,2.9624,9.1835,3.0869,5.5863,32.1529,11.3338,1.0032,0.0336,1.8333,1.0292,0.4199,0.0685,1.9265,2.0,1.5017,1.5179
Rodriguez,1.133,1.5913,0.6293,0.3825,0.6782,0.001,0.0905,0.1966,0.2587,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo (RL),0.8043,1.6123,0.6293,0.242,0.6491,0.0006,0.0981,0.0414,0.2725,0.749,0.2776,0.1911,0.2285,2.0,1.8696,2.0,0.1143,1.8975,0.2221,0.8121,0.0796,0.6512,1.8793,0.3554,0.5124,0.5952,0.467,0.0094,0.0002,0.2238,0.4484,2.0001,2.0,0.0018,0.0449,1.285,0.2222,2.0,1.203,0.3145,5.0986,9.6128,4.7735,9.5199,43.3141,14.3093,1.0225,0.1325,1.9583,1.0944,1.202,1.8461,1.9706,2.0,1.5058,1.5771
Tanay,0.3258,1.5871,0.6293,0.0998,0.6234,0.001,0.0701,0.0012,0.1134,0.3036,0.1723,0.098,0.1482,2.0,1.913,2.0,0.1714,1.7693,0.1562,1.1389,0.0218,0.5926,1.8721,0.3146,0.1902,0.2368,0.467,0.0019,0.0004,0.2067,0.278,1.3334,2.0,0.0,0.055,1.265,0.7407,2.0,0.2756,0.0196,3.7547,9.5673,3.9041,7.9673,36.8313,11.6379,1.0056,0.0321,1.9167,1.0054,0.5025,0.0844,1.9412,2.0,1.506,1.644
Taytay (RL),1.897,1.4859,0.6293,0.8516,1.2436,0.0007,0.3635,0.0274,0.7866,0.9585,0.1906,0.5414,0.49,2.0,1.7826,2.0,0.1143,1.8206,0.2643,1.0297,0.1042,0.6182,1.8995,0.6971,0.744,0.5144,0.5286,0.0016,0.0031,0.27,0.3719,2.0001,2.0,0.0013,0.6163,1.465,0.2963,2.0,0.2741,0.0149,8.2441,10.2335,5.3807,9.0399,45.0574,12.1592,1.0435,0.0335,1.9167,1.0879,0.7718,0.3722,1.9118,2.0,1.5037,1.5181
Teresa,0.2704,1.7246,0.6293,0.0659,0.1817,0.0013,0.0572,0.0035,0.0945,0.2201,0.1778,0.0344,0.0888,2.0,1.913,2.0,0.2857,1.8462,0.3471,0.9918,0.0029,0.6439,1.8804,0.0489,0.0583,0.0728,0.1938,0.0012,0.0015,0.0425,0.5347,2.0001,2.0,0.0021,0.0206,1.105,0.0,2.0,0.1754,0.0,3.2485,9.6848,2.9462,7.8379,35.1026,11.3852,1.0032,0.0292,1.875,1.0024,0.3918,0.1919,1.8824,2.0,1.5006,1.5087
